time,original,filtered,fitted
0.147,2.04902,2.33785,2.47983
0.148,2.49089,2.37919,2.4799
0.149,2.51134,2.41489,2.47996
0.15,2.37507,2.40413,2.48003
0.151,2.04486,2.30707,2.48009
0.152,2.22672,2.28536,2.48015
0.153,2.23765,2.27247,2.48022
0.154,2.29241,2.27786,2.48028
0.155,2.44022,2.32172,2.48035
0.156,2.31725,2.32051,2.48041
0.157,2.35823,2.3307,2.48047
0.158,2.41023,2.35219,2.48054
0.159,2.44738,2.3779,2.4806
0.16,2.72208,2.47089,2.48066
0.161,2.2686,2.41624,2.48073
0.162,2.09413,2.32922,2.48079
0.163,2.38938,2.34547,2.48086
0.164,2.35069,2.34688,2.48092
0.165,2.4585,2.37704,2.48098
0.166,2.53205,2.41892,2.48105
0.167,1.99148,2.30344,2.48111
0.168,2.31814,2.30741,2.48117
0.169,2.67258,2.40606,2.48124
0.17,2.04694,2.30904,2.4813
0.171,2.55878,2.37651,2.48137
0.172,2.31319,2.35941,2.48143
0.173,1.95181,2.24929,2.48149
0.174,2.27315,2.25574,2.48156
0.175,2.37273,2.28734,2.48162
0.176,2.20078,2.26396,2.48168
0.177,1.98176,2.18772,2.48175
0.178,2.40049,2.2452,2.48181
0.179,2.28993,2.25728,2.48188
0.18,2.45949,2.31191,2.48194
0.181,2.09412,2.25307,2.482
0.182,2.22535,2.24558,2.48207
0.183,1.9791,2.17359,2.48213
0.184,2.21332,2.18433,2.4822
0.185,2.50044,2.26973,2.48226
0.186,2.41402,2.30871,2.48232
0.187,2.11386,2.25607,2.48239
0.188,2.6408,2.36001,2.48245
0.189,2.35425,2.35845,2.48251
0.19,2.41614,2.37404,2.48258
0.191,2.16647,2.31796,2.48264
0.192,2.47655,2.36081,2.48271
0.193,2.10296,2.29115,2.48277
0.194,2.2793,2.28795,2.48283
0.195,2.0916,2.2349,2.4829
0.196,2.48485,2.30243,2.48296
0.197,1.76981,2.15854,2.48302
0.198,2.95534,2.3738,2.48309
0.199,2.45235,2.39502,2.48315
0.2,2.19861,2.34196,2.48322
0.201,2.49443,2.38315,2.48328
0.202,2.09455,2.30518,2.48334
0.203,2.33885,2.31428,2.48341
0.204,2.12248,2.26246,2.48347
0.205,2.63482,2.36306,2.48353
0.206,1.99303,2.26309,2.4836
0.207,2.0301,2.20015,2.48366
0.208,1.88282,2.11442,2.48373
0.209,2.02287,2.08969,2.48379
0.21,2.44106,2.18461,2.48385
0.211,2.22265,2.19489,2.48392
0.212,1.92977,2.12326,2.48398
0.213,2.07432,2.11004,2.48405
0.214,2.05741,2.09582,2.48411
0.215,2.14198,2.10829,2.48417
0.216,2.0034,2.07996,2.48424
0.217,2.25206,2.12645,2.4843
0.218,2.32242,2.17939,2.48436
0.219,1.69422,2.04832,2.48443
0.22,2.36366,2.13351,2.48449
0.221,1.86256,2.06031,2.48456
0.222,2.67947,2.22758,2.48462
0.223,2.12145,2.19891,2.48468
0.224,1.88165,2.1132,2.48475
0.225,1.74649,2.01413,2.48481
0.226,1.80118,1.9566,2.48487
0.227,1.74192,1.8986,2.48494
0.228,2.6481,2.10109,2.485
0.229,1.88911,2.04382,2.48507
0.23,2.25707,2.10143,2.48513
0.231,1.93759,2.05717,2.48519
0.232,2.26219,2.11256,2.48526
0.233,1.84085,2.03915,2.48532
0.234,2.00781,2.03069,2.48538
0.235,2.12858,2.05713,2.48545
0.236,2.24188,2.10704,2.48551
0.237,2.29326,2.15735,2.48558
0.238,1.73139,2.04228,2.48564
0.239,1.83252,1.98561,2.4857
0.24,2.17661,2.03721,2.48577
0.241,1.67477,1.93929,2.48583
0.242,1.68302,1.87006,2.4859
0.243,1.634,1.80629,2.48596
0.244,1.98298,1.85402,2.48602
0.245,1.75887,1.82832,2.48609
0.246,1.97749,1.86862,2.48615
0.247,1.75127,1.83691,2.48621
0.248,2.13804,1.91826,2.48628
0.249,2.24206,2.00574,2.48634
0.25,1.92449,1.98379,2.48641
0.251,2.5197,2.12857,2.48647
0.252,2.19437,2.14635,2.48653
0.253,2.16948,2.1526,2.4866
0.254,1.89936,2.08418,2.48666
0.255,1.88677,2.03085,2.48672
0.256,1.93073,2.0038,2.48679
0.257,2.33481,2.09323,2.48685
0.258,2.10879,2.09743,2.48692
0.259,2.33677,2.16209,2.48698
0.26,2.21556,2.17654,2.48704
0.261,1.27472,1.9329,2.48711
0.262,1.90496,1.92535,2.48717
0.263,1.83485,1.9009,2.48723
0.264,1.73555,1.85623,2.4873
0.265,1.86648,1.859,2.48736
0.266,1.70316,1.8169,2.48743
0.267,2.07466,1.88653,2.48749
0.268,1.65223,1.82324,2.48755
0.269,1.67469,1.7831,2.48762
0.27,1.98513,1.83768,2.48768
0.271,1.97908,1.87588,2.48775
0.272,2.32691,1.99773,2.48781
0.273,2.31407,2.08319,2.48787
0.274,1.77063,1.99875,2.48794
0.275,1.96292,1.98907,2.488
0.276,1.48861,1.85387,2.48806
0.277,1.88159,1.86136,2.48813
0.278,1.63016,1.7989,2.48819
0.279,2.18453,1.90308,2.48826
0.28,1.78346,1.87076,2.48832
0.281,1.74234,1.83607,2.48838
0.282,1.7785,1.82052,2.48845
0.283,2.09505,1.89468,2.48851
0.284,2.20773,1.97926,2.48857
0.285,1.86705,1.94894,2.48864
0.286,2.01001,1.96544,2.4887
0.287,1.93504,1.95723,2.48877
0.288,1.90767,1.94384,2.48883
0.289,1.92431,1.93856,2.48889
0.29,2.01798,1.96002,2.48896
0.291,2.16568,2.01558,2.48902
0.292,1.90046,1.98448,2.48908
0.293,1.67856,1.90183,2.48915
0.294,1.45554,1.78126,2.48921
0.295,1.76577,1.77708,2.48928
0.296,1.50959,1.70481,2.48934
0.297,1.84809,1.74352,2.4894
0.298,1.83278,1.76763,2.48947
0.299,1.67425,1.74241,2.48953
0.3,1.86348,1.77512,2.4896
0.301,1.97417,1.82889,2.48966
0.302,1.76492,1.81161,2.48972
0.303,2.13857,1.89994,2.48979
0.304,1.82845,1.88063,2.48985
0.305,2.13548,1.94948,2.48991
0.306,1.77478,1.90228,2.48998
0.307,1.99895,1.9284,2.49004
0.308,1.73591,1.8764,2.49011
0.309,1.59162,1.79946,2.49017
0.31,1.87416,1.81964,2.49023
0.311,2.20236,1.92304,2.4903
0.312,1.93455,1.92615,2.49036
0.313,1.50403,1.81211,2.49042
0.314,2.0511,1.87667,2.49049
0.315,1.72575,1.8359,2.49055
0.316,1.64544,1.78445,2.49062
0.317,1.38565,1.67671,2.49068
0.318,2.07314,1.78381,2.49074
0.319,1.84132,1.79934,2.49081
0.32,1.83979,1.81027,2.49087
0.321,1.5498,1.7399,2.49093
0.322,1.62425,1.70866,2.491
0.323,1.63718,1.68935,2.49106
0.324,1.67972,1.68675,2.49113
